Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Angular Velocity x, Angular Velocity y, Angular Velocity z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering
1.988868, -1.289594, 0.08605477, -32.72675, -0.003397456, 0.069755, 0.0002141534, 0.001527673, 2.237977E-06, -0.0002102659, 4.03724E-06, 0.0051869, 6.812085E-05, 0.06171492, 0, -0.02352064
2.007928, -1.289595, 0.08615793, -32.72675, -0.003385655, 0.06975502, 0.0002133076, 0.0008093831, 2.155735E-06, -0.0001251108, 3.596076E-07, 0.005742118, 3.521917E-05, 0.07419269, 0, -0.02353189
2.02469, -1.289595, 0.08625546, -32.72676, -0.003380415, 0.06975504, 0.0002128154, 0.0001301743, 1.829017E-06, -4.310968E-05, -3.02974E-06, 0.006013066, 3.997808E-06, 0.07488587, 0, -0.02353794
2.041324, -1.289596, 0.08635537, -32.72676, -0.003379731, 0.06975506, 0.0002125552, -0.0005000174, 1.611364E-06, 3.350184E-05, -6.070341E-06, 0.006025299, -2.507962E-05, 0.06379464, 0, -0.02353444
2.058152, -1.289596, 0.08645692, -32.72675, -0.003383944, 0.06975507, 0.0002125427, -0.0005000174, 1.611364E-06, 3.350184E-05, -6.070341E-06, 0.006025299, -2.507962E-05, 0.0621771, 0, -0.02353309
2.075172, -1.289595, 0.08655617, -32.72675, -0.003392574, 0.06975508, 0.0002127617, -0.001071635, 1.311163E-06, 0.0001040361, -8.732821E-06, 0.005805582, -5.155969E-05, 0.07604123, 0, -0.02352836
2.091462, -1.289594, 0.08664606, -32.72674, -0.003404259, 0.06975508, 0.000213163, -0.001577238, 9.075538E-07, 0.0001682392, -1.10265E-05, 0.005393103, -7.507263E-05, 0.06032856, 0, -0.02352902
2.108908, -1.289593, 0.08673511, -32.72673, -0.003420037, 0.06975508, 0.0002137862, -0.0020123, 5.079278E-07, 0.0002254544, -1.294132E-05, 0.004823849, -9.537552E-05, 0.06125274, 0, -0.0235338
2.124795, -1.289592, 0.08680852, -32.72672, -0.003436976, 0.06975508, 0.0002145167, -0.002373094, 8.76189E-08, 0.0002753384, -1.447347E-05, 0.004138261, -0.0001122573, 0.07719658, 0, -0.02353372
2.141503, -1.289591, 0.08687659, -32.72671, -0.003457122, 0.06975508, 0.0002154451, -0.002658515, -2.22783E-07, 0.0003169225, -1.55989E-05, 0.003374442, -0.0001256305, 0.06263927, 0, -0.0235398
2.158918, -1.289589, 0.08693544, -32.7267, -0.003480407, 0.06975507, 0.0002165829, -0.002658515, -2.22783E-07, 0.0003169225, -1.55989E-05, 0.003374442, -0.0001256305, 0.06448781, 0, -0.02353413
2.175031, -1.289587, 0.08697788, -32.72668, -0.00350354, 0.06975506, 0.000217771, -0.002868193, -4.610683E-07, 0.0003496398, -1.630334E-05, 0.002571389, -0.0001354468, 0.07465487, 0, -0.02352919
2.191908, -1.289586, 0.08701192, -32.72667, -0.003528685, 0.06975505, 0.0002191224, -0.002999984, -9.443602E-07, 0.0003750722, -1.664147E-05, 0.001771957, -0.0001415849, 0.06171492, 0, -0.0235242
2.208233, -1.289584, 0.0870347, -32.72666, -0.003553546, 0.06975503, 0.0002205153, -0.003052999, -1.043456E-06, 0.000390166, -1.648015E-05, 0.00101237, -0.0001439757, 0.06287028, 0, -0.02351881
2.225147, -1.289582, 0.08704835, -32.72664, -0.003579479, 0.06975502, 0.000222025, -0.003033314, -1.190164E-06, 0.000396199, -1.595597E-05, 0.0003150254, -0.0001429134, 0.07442386, 0, -0.02351519
2.241729, -1.28958, 0.08705267, -32.72662, -0.003604726, 0.06975501, 0.0002235507, -0.002948081, -1.278843E-06, 0.0003937359, -1.510702E-05, -0.000304386, -0.0001387425, 0.06287028, 0, -0.02351639
2.258186, -1.289578, 0.08704787, -32.72662, -0.00362915, 0.06975499, 0.0002250902, -0.002948081, -1.278843E-06, 0.0003937359, -1.510702E-05, -0.000304386, -0.0001387425, 0.06287028, 0, -0.02352269
2.274843, -1.289576, 0.08703504, -32.7266, -0.003652806, 0.06975498, 0.0002266426, -0.002804306, -1.247628E-06, 0.0003828632, -1.393859E-05, -0.0008332431, -0.0001317991, 0.07765877, 0, -0.02352858
2.29164, -1.289574, 0.08701614, -32.72659, -0.003675399, 0.06975495, 0.0002281837, -0.002611142, -1.266102E-06, 0.0003652631, -1.255736E-05, -0.001264364, -0.0001225314, 0.06333245, 0, -0.02352113
2.308145, -1.289572, 0.08699264, -32.72658, -0.003696149, 0.06975493, 0.0002296552, -0.002376288, -1.135827E-06, 0.0003408787, -1.094448E-05, -0.001597002, -0.0001113103, 0.0619461, 0, -0.02352253
2.325109, -1.28957, 0.08696444, -32.72657, -0.003715774, 0.06975491, 0.0002311046, -0.002109189, -9.951586E-07, 0.0003109739, -9.17976E-06, -0.001831591, -9.859448E-05, 0.07673458, 0, -0.02352149
