Velocity y,Velocity x,Rotation, Angular Velocity y,Steering transferred,Steering
0.07248797,8.229062807,-0.434432821,0.084446894,0.167224049,0.273749599
0.069044041,8.242098788,-0.425747859,0.081413802,0.12823969,0.209931311
0.047431292,8.244303361,-0.418625005,0.058132122,0.096571349,0.158089511
0.032728581,8.244911918,-0.413768028,0.039162915,0.088845124,0.145441504
0.028354134,8.250373454,-0.410206506,0.033011389,0.084317871,0.138030286
0.024543269,8.271016246,-0.407017353,0.029280778,0.054856971,0.089802119
0.013822548,8.274684745,-0.404562295,0.016696545,0.015686532,0.025679212
0.004182868,8.276095864,-0.403456805,0.005156872,0.006849153,0.01121222
0.002466627,8.276988877,-0.4031204,0.002779142,0.028564784,0.046761206
0.007152814,8.278206453,-0.402660823,0.008237366,0.05780278,0.094624475
0.014595006,8.278384295,-0.401373914,0.018616398,0.102011494,0.166995152
0.031836531,8.279111249,-0.398492054,0.040828074,0.166741632,0.272959871
0.076559114,8.279429053,-0.392411188,0.090803527,0.246769807,0.403967827
0.140975195,8.276384034,-0.380078436,0.167535604,0.314967228,0.515608568
0.206456164,8.270628722,-0.359726711,0.245578096,0.345116204,0.564963132
0.243395407,8.265784158,-0.332746295,0.291162033,0.346389241,0.567047124
0.252695462,8.261556809,-0.302973468,0.3031297,0.357068005,0.584528504
0.267135926,8.257267056,-0.272075045,0.320241152,0.381389599,0.624343511
0.297813244,8.250169541,-0.238504415,0.35701603,0.405234874,0.663378773
0.334952332,8.242354392,-0.200833475,0.403471591,0.424021838,0.694133463
0.3698916,8.23775016,-0.158074907,0.445707319,0.430663951,0.705006754
0.391774311,8.229539686,-0.112373847,0.465515502,0.429836895,0.703652844
0.4102537,8.226346084,-0.065457671,0.47366335,0.431882962,0.707002303
0.416677759,8.229501664,-0.018313803,0.47334723,0.439585317,0.719611235
0.414064813,8.226903718,0.029319699,0.477563296,0.447515343,0.732592869
0.38024546,8.220776738,0.077430123,0.474566486,0.445904354,0.729955644
0.353779291,8.212339303,0.125499808,0.487982966,0.433878433,0.710268935
0.334143409,8.204556643,0.174486851,0.482409585,0.413694376,0.677227171
0.316386207,8.200031329,0.221942938,0.466774366,0.39493972,0.646525369
0.271903342,8.200543957,0.266040962,0.405879905,0.388742635,0.6363806
0.260448242,8.197322754,0.3050648,0.384452559,0.414634018,0.678765386
0.323285431,8.17886773,0.345539954,0.454790636,0.466217122,0.76320811
0.390928898,8.156052466,0.395728336,0.553266218,0.515366965,0.843667529
0.450426329,8.125358541,0.455999284,0.663629636,0.540849893,0.885383666
0.49416747,8.090704285,0.527374021,0.762302815,0.542752518,0.888498306
0.531803101,8.056482632,0.604581769,0.761064513,0.542620071,0.888281488
0.583336871,8.037490197,0.678044785,0.745660206,0.552382971,0.904263579
0.563970084,8.010249955,0.755263042,0.800109568,0.564164454,0.923550136
0.556983969,7.974832639,0.836778848,0.821845197,0.55987474,0.916527777
